t(s),roll(rad),pitch(rad),yaw(rad),roll(deg),pitch(deg),yaw(deg)
553991.5015950000,0.0055482930,-0.0112074178,0.2091571441,0.3178937708,-0.6421377369,11.9838216129
553992.5016129999,0.0055058959,-0.0112374496,0.2140333859,0.3154645982,-0.6438584336,12.2632096861
553993.5016310000,0.0055237394,-0.0112195550,0.2091629208,0.3164869550,-0.6428331495,11.9841525933
553994.5016490000,0.0054812135,-0.0112315135,0.2071677237,0.3140504020,-0.6435183215,11.8698362210
553995.5016675000,0.0055117671,-0.0112254825,0.2114862538,0.3158009948,-0.6431727686,12.1172697673
553996.5016860000,0.0054635992,-0.0112307935,0.2256347432,0.3130411725,-0.6434770655,12.9279184943
553997.5017039999,0.0055363002,-0.0112010167,0.2118985636,0.3172066353,-0.6417709843,12.1408933816
553998.5017220000,0.0054812993,-0.0111826291,0.2130975898,0.3140553177,-0.6407174518,12.2095925223
553999.5017400000,0.0055300415,-0.0111766744,0.2179408791,0.3168480411,-0.6403762720,12.4870925553
554000.5017580000,0.0055117616,-0.0112073280,0.2041591911,0.3158006772,-0.6421325914,11.6974599991
554001.5017770000,0.0055060581,-0.0111825162,0.2124570993,0.3154738888,-0.6407109800,12.1728951192
554002.5017940000,0.0054934103,-0.0112070118,0.2403728317,0.3147492264,-0.6421144795,13.7723487655
554003.5018120001,0.0055118244,-0.0112066096,0.2117457164,0.3158042779,-0.6420914351,12.1321358794
554004.5018300000,0.0055358722,-0.0112258040,0.2294441594,0.3171821125,-0.6431911905,13.1461819700
554005.5018485000,0.0054632236,-0.0112252917,0.2206819652,0.3130196520,-0.6431618373,12.6441452233
554006.5018670000,0.0054932153,-0.0112497267,0.1967991376,0.3147380510,-0.6445618610,11.2757599969
554007.5018850000,0.0055175899,-0.0112196037,0.2138571160,0.3161346138,-0.6428359414,12.2531101676
554008.5019030001,0.0055424612,-0.0112257703,0.2279057140,0.3175596367,-0.6431892623,13.0580355392
554009.5019210000,0.0055366034,-0.0112006019,0.1949236854,0.3172240095,-0.6417472191,11.1683045001
554010.5019390000,0.0054690308,-0.0111826336,0.1915177882,0.3133523816,-0.6407177106,10.9731609645
554011.5019570000,0.0055056180,-0.0111828623,0.1962195165,0.3154486743,-0.6407308103,11.2425501533
554012.5019750000,0.0055179837,-0.0112131838,0.1949136329,0.3161571788,-0.6424681069,11.1677285347
554013.5019930000,0.0055058398,-0.0112435652,0.1888930319,0.3154613854,-0.6442088351,10.8227735086
554014.5020109999,0.0054812879,-0.0111948598,0.2014871991,0.3140546632,-0.6414182164,11.5443661368
554015.5020300000,0.0054997247,-0.0111944254,0.2255860248,0.3151110163,-0.6413933311,12.9251271389
554016.5020480000,0.0055118549,-0.0112070637,0.2217665220,0.3158060217,-0.6421174514,12.7062857460
554017.5020660000,0.0054447301,-0.0112312761,0.2170722855,0.3119600559,-0.6435047178,12.4373258101
554018.5020840000,0.0055362469,-0.0111888657,0.2063189561,0.3172035806,-0.6410747844,11.8212054205
554019.5021019999,0.0054936902,-0.0112191461,0.1993263057,0.3147652641,-0.6428097223,11.4205560635
554020.5021200000,0.0054872368,-0.0112559939,0.2221294573,0.3143955104,-0.6449209452,12.7270804103
554021.5021380000,0.0055057899,-0.0111945765,0.2052803392,0.3154585254,-0.6414019841,11.7616970540
554022.5021560000,0.0054814074,-0.0111825940,0.2271516433,0.3140615098,-0.6407154397,13.0148304710
554023.5021740000,0.0055302462,-0.0112070913,0.1974965686,0.3168597672,-0.6421190327,11.3157198513
554024.5021929999,0.0054998029,-0.0112071836,0.2335327011,0.3151154970,-0.6421243218,13.3804381500
554025.5022110000,0.0054995524,-0.0111888234,0.2010979939,0.3151011409,-0.6410723557,11.5220663164
554026.5022290000,0.0055117729,-0.0112071850,0.2110655630,0.3158013234,-0.6421243997,12.0931659622
554027.5022470000,0.0054873498,-0.0112013029,0.2303764164,0.3144019819,-0.6417873806,13.1995963568
554028.5022650000,0.0054997296,-0.0112126418,0.2151737807,0.3151112941,-0.6424370496,12.3285494933
554029.5022830000,0.0055058158,-0.0112191263,0.1920916241,0.3154600087,-0.6428085856,11.0060393419
554030.5023010001,0.0054814251,-0.0112252314,0.2306446328,0.3140625244,-0.6431583842,13.2149640254
554031.5023190000,0.0055119306,-0.0112070804,0.2334098402,0.3158103591,-0.6421184087,13.3733987405
554032.5023370000,0.0054629619,-0.0111764137,0.2167968261,0.3130046627,-0.6403613378,12.4215431467
554033.5023550000,0.0054752222,-0.0112192196,0.2253164141,0.3137071257,-0.6428139297,12.9096795818
554034.5023740000,0.0054934519,-0.0111947401,0.2150709111,0.3147516113,-0.6414113594,12.3226555029
554035.5023920001,0.0055425516,-0.0111887150,0.2223509381,0.3175648133,-0.6410661504,12.7397703250
554036.5024100000,0.0054873842,-0.0112071124,0.2323788806,0.3144039529,-0.6421202426,13.3143291081
554037.5024280000,0.0055361798,-0.0112011081,0.1893639575,0.3171997393,-0.6417762183,10.8497555585
554038.5024460000,0.0055119340,-0.0112194790,0.2202411193,0.3158105539,-0.6428287936,12.6188866111
554039.5024640000,0.0054998082,-0.0111947543,0.2117098815,0.3151157981,-0.6414121739,12.1300826912
